"Human Gene ID","Human Gene Name","Gene MIM Number","Cilia Related Process Pubmed ID","Synonym"
1785,"DNM2","602378","32973177 *","DNM2;DNM2;ENSG00000079805; DYN2; CMT2M; DYNII; LCCS5; CMTDI1; CMTDIB; DI-CMTB"
25911,"DPCD","616467","14630615",NA
1813,"DRD2","126450","20531939","DRD2;DRD2;ENSG00000149295; D2R; D2DR"
1816,"DRD5","126453","20531939","DRD5;DRD5;ENSG00000169676; DBDR; DRD1B; DRD1L2"
1855,"DVL1","601365","18552847","DVL1;DVL1;ENSG00000107404; DVL; DRS2; DVL1L1; DVL1P1"
84332,"DYDC2","No MIM ID","22851692, 27486783",NA
1778,"DYNC1H1","600112","26077881, 16440056","DYNC1H1;DYNC1H1;ENSG00000197102; p22; DHC1; DNCL; DYHC; HL-3; CMT2O; DHC1a; DNCH1; DNECL; Dnchc1; SMALED1"
1781,"DYNC1I2","603331","16440056","DYNC1I2;DYNC1I2;ENSG00000077380; IC2; DIC74; DNCI2; NEDMIBA"
79659,"DYNC2H1","603297","24989795, 26077881","DYNC2H1;DYNC2H1;ENSG00000187240; ATD3; DHC2; DHC1b; DNCH2; DYH1B; SRTD3; SRPS2B; hdhc11"
83658,"DYNLRB1","607167","21953912","DYNLRB1;DYNLRB1;ENSG00000125971; BLP; BITH; DNCL2A; DNLC2A; ROBLD1"
83657,"DYNLRB2","607168","21953912","DYNLRB2;DYNLRB2;ENSG00000168589; DNCL2B; DNLC2B; ROBLD2"
1874,"E2F4","600659","28675157","E2F4;E2F4;ENSG00000205250; E2F-4"
1915,"EEF1A1","130590","32127582","EEF1A1;EEF1A1;ENSG00000156508; CCS3; EF1A; PTI1; CCS-3; EE1A1; EEF-1; EEF1A; EF-Tu; EF1A1; LENG7; eEF1A-1; GRAF-1EF; EF1alpha1"
79645,"EFCAB1","619564","31240264","CLXN;EFCAB1;ENSG00000034239; ODAD5; EFCAB1"
84288,"EFCAB2","619617","30933994","EFCAB2;EFCAB2;ENSG00000203666; DRC8; CFAP200"
9343,"EFTUD2","603892","32811879 *","EFTUD2;EFTUD2;ENSG00000108883; MFDM; MFDGA; Snu114; Snrp116; SNRNP116; U5-116KD"
2009,"EML1","602033","31390572","EML1;EML1;ENSG00000066629; BH; EMAP; ELP79; EMAPL; EMAP-1"
115704,"EVI5L","No MIM ID","17646400",NA
10640,"EXOC5","604469","19297529","EXOC5;EXOC5;ENSG00000070367; SEC10; HSEC10; SEC10P; PRO1912; SEC10L1"
153643,"FAM81B","153643","17971504",NA
92565,"FANK1","611640","29661797","FANK1;FANK1;ENSG00000203780; HSD13"
11116,"FGFR1OP","605392","33304902","CEP43;FGFR1OP;ENSG00000213066; FOP; FGFR1OP"
80199,"FUZ","610622","20962855","FUZ;FUZ;ENSG00000010361; FY; NTD; CPLANE3"
63917,"GALNT11","615130","24226769","GALNT11;GALNT11;ENSG00000178234; GALNACT11; GALNAC-T11"
647309,"GMNC","614448","10.1101/2021.02.17.431442","GMNC;GMNC;ENSG00000205835; GEMC1"
2792,"GNGT1","189970","23954591 *","GNGT1;GNGT1;ENSG00000127928; GNG1; HG3G1"
92344,"GORAB","607983","29892014","GORAB;GORAB;ENSG00000120370; GO; NTKLBP1; SCYL1BP1"
2932,"GSK3B","605004","17450132",NA
2934,"GSN","137350","20393563","GSN;GSN;ENSG00000148180; ADF; AGEL"
9001,"HAP1","600947","21985783","HAP1;HAP1;ENSG00000173805; HLP; HAP2; HIP5; hHLP1"
115106,"HAUS1","608775","10.1101/2020.05.05.20091504","HAUS1;HAUS1;ENSG00000152240; HEIC; CCDC5; HEI-C; HsT1461"
26762,"HAVCR1","606518","17205356","HAVCR1;HAVCR1;ENSG00000113249; TIM; KIM1; TIM1; CD365; HAVCR; KIM-1; TIM-1; TIMD1; TIMD-1; HAVCR-1"
54919,"HEATR2","614864","25232951","DNAAF5;HEATR2;ENSG00000164818; CILD18; HEATR2"
64399,"HHIP","606178","25215859 *","HHIP;HHIP;ENSG00000164161; HIP"
3091,"HIF1A","603348","24378640","HIF1A;HIF1A;ENSG00000100644; HIF1; MOP1; PASD8; HIF-1A; bHLHe78; HIF-1alpha; HIF1-ALPHA; HIF-1-alpha"
6928,"HNF1B","189907","22706971","HNF1B;HNF1B;ENSG00000275410; T2D; FJHN; HNF2; LFB3; RCAD; TCF2; HPC11; LF-B3; MODY5; TCF-2; VHNF1; ADTKD3; HNF-1B; HNF1beta; HNF-1-beta"
3320,"HSP90AA1","140571","30881373","HSP90AA1;HSP90AA1;ENSG00000080824; EL52; HSPN; LAP2; HSP86; HSPC1; HSPCA; Hsp89; Hsp90; LAP-2; HSP89A; HSP90A; HSP90N; Hsp103; HSPCAL1; HSPCAL4; HEL-S-65p"
7184,"HSP90B1","191175","32811879 *","HSP90B1;HSP90B1;ENSG00000166598; ECGP; GP96; TRA1; GRP94; HEL35; HEL-S-125m"
3312,"HSPA8","600816","19302411","HSPA8;HSPA8;ENSG00000109971; LAP1; HSC54; HSC70; HSC71; HSP71; HSP73; LAP-1; NIP71; HEL-33; HSPA10; HEL-S-72p"
51668,"HSPB11","No MIM ID","19253336","HSPB11;HSPB11;ENSG00000081870; PP25; IFT25; FAP232; C1orf41; HSPCO34"
3064,"HTT","613004","21985783","HTT;HTT;ENSG00000197386; HD; IT15; LOMARS"
10075,"HUWE1","300697","26167768","HUWE1;HUWE1;ENSG00000086758; MULE; Ib772; LASU1; MRXST; UREB1; HECTH9; URE-B1; ARF-BP1; HSPC272"
8100,"IFT88","600595","11062270","IFT88;IFT88;ENSG00000032742; DAF19; TG737; TTC10; hTg737; D13S1056E"
